i		
ii		
iv	a	
v	a	
vi	a	
vii	a	
2	b	1
3	b	1
4	b	2
5	b	2
6	b	3
7	b	3
8	b	4
9	b	4
10	b	5
11	b	5
12	b	6
13	b	6
14	c	1
15	c	1
16	c	2
17	c	2
18	c	3
19	c	3
20	c	4
21	c	4
22	c	5
23	c	5
24	c	6
25	c	6
26	d	1
27	d	1
28	d	2
29	d	2
30	d	3
31	d	3
32	d	4
33	d	4
34	d	5
35	d	5
36	d	6
37	d	6
38	e	1
39	e	1
40	e	2
41	e	2
42	e	3
43	e	3
44	e	4
45	e	4
46	e	5
47	e	5
48	e	6
49	e	6
50	f	1
51	f	1
52	f	2
53	f	2
54	f	3
55	f	3
56	f	4
57	f	4
58	f	5
59	f	5
60	f	6
61	f	6
62	g	1
63	g	1
64	g	2
65	g	2
66	g	3
67	g	3
68	g	4
69	g	4
70	g	5
71	g	5
72	g	6
73	g	6
74	h	1
75	h	1
76	h	2
77	h	2
78	h	3
79	h	3
80	h	4
81	h	4
82	h	5
83	h	5
84	h	6
85	h	6
86	i	1
87	i	1
88	i	2
89	i	2
90	i	3
91	i	3
92	i	4
93	i	4
94	i	5
95	i	5
96	i	6
97	i	6
98	j	1
99	j	1
100	j	2
101	j	2
102	j	3
103	j	3
104	j	4
105	j	4
106	j	5
107	j	5
108	j	6
109	j	6
110	k	1
111	k	1
112	k	2
113	k	2
114	k	3
115	k	3
116	k	4
117	k	4
118	k	5
119	k	5
120	k	6
121	k	6
122	l	1
123	l	2
125	l	3
127	l	4
128	l	5
130	l	6
131	l	2
132	l	3
133	l	7
133	l	8
135	l	9
137	l	10
139	m	1
140	m	2
141	m	3
142	m	4
143	m	5
144	m	6
145	m	7
146	m	8
147	m	9
148	m	10
149	n	1
150	n	2
